input_rate(Hz),firing_rate(Hz),neu_type
5000.0,0.0,E
5010.0,0.0,E
5020.0,0.0,E
5030.0,0.0,E
5040.0,0.0,E
5050.0,0.0,E
5060.0,0.0,E
5070.0,0.0,E
5080.0,0.0,E
5090.0,0.0,E
5100.0,0.0,E
5110.0,0.0,E
5120.0,0.0,E
5130.0,0.0,E
5140.0,0.0,E
5150.0,0.0,E
5160.0,0.0,E
5170.0,0.0,E
5180.0,0.0,E
5190.0,0.0,E
5200.0,0.0,E
5210.0,0.0,E
5220.0,0.0,E
5230.0,0.0,E
5240.0,0.0,E
5250.0,0.0,E
5260.0,0.0,E
5270.0,0.0,E
5280.0,0.0,E
5290.0,0.0,E
5300.0,0.0,E
5310.0,0.0,E
5320.0,0.0,E
5330.0,0.0,E
5340.0,0.0,E
5350.0,0.0,E
5360.0,0.0,E
5370.0,0.0,E
5380.0,0.0,E
5390.0,0.0,E
5400.0,0.0,E
5410.0,0.0,E
5420.0,0.0,E
5430.0,0.0,E
5440.0,0.0,E
5450.0,0.0,E
5460.0,0.0,E
5470.0,0.0,E
5480.0,0.0,E
5490.0,0.0,E
5500.0,0.0,E
5510.0,0.0,E
5520.0,0.0,E
5530.0,0.0,E
5540.0,0.0,E
5550.0,0.0,E
5560.0,0.0,E
5570.0,0.0,E
5580.0,0.0,E
5590.0,0.0,E
5600.0,0.0,E
5610.0,0.0,E
5620.0,0.0,E
5630.0,0.0,E
5640.0,0.0,E
5650.0,0.0,E
5660.0,0.0,E
5670.0,0.0,E
5680.0,0.0,E
5690.0,0.0,E
5700.0,0.0,E
5710.0,0.0,E
5720.0,0.0,E
5730.0,0.0,E
5740.0,0.0,E
5750.0,0.0,E
5760.0,0.0,E
5770.0,0.0,E
5780.0,0.0,E
5790.0,0.0,E
5800.0,0.0,E
5810.0,0.0,E
5820.0,0.0,E
5830.0,0.0,E
5840.0,0.0,E
5850.0,0.0,E
5860.0,0.0,E
5870.0,0.0,E
5880.0,0.0,E
5890.0,0.0,E
5900.0,0.0,E
5910.0,0.0,E
5920.0,0.0,E
5930.0,0.0,E
5940.0,0.0,E
